product_id,product_name,category,subcategory,cost_price
213,Product 213,Home,Subcategory 4,1169.5
214,Product 214,Books,Subcategory 5,1698.05
215,Product 215,Electronics,Subcategory 6,1237.54
216,Product 216,Home,Subcategory 7,106.46
217,Product 217,Home,Subcategory 8,1420.26
218,Product 218,Home,Subcategory 9,1847.0
219,Product 219,Home,Subcategory 10,61.91
220,Product 220,Clothing,Subcategory 1,1154.33
221,Product 221,Books,Subcategory 2,185.69
222,Product 222,Electronics,Subcategory 3,228.93
223,Product 223,Clothing,Subcategory 4,783.58
224,Product 224,Books,Subcategory 5,714.75
225,Product 225,Home,Subcategory 6,657.69
226,Product 226,Home,Subcategory 7,1564.83
227,Product 227,Electronics,Subcategory 8,1772.52
228,Product 228,Clothing,Subcategory 9,356.95
229,Product 229,Electronics,Subcategory 10,1364.24
230,Product 230,Home,Subcategory 1,914.07
231,Product 231,Books,Subcategory 2,997.04
232,Product 232,Books,Subcategory 3,857.66
233,Product 233,Clothing,Subcategory 4,1522.14
234,Product 234,Electronics,Subcategory 5,723.09
235,Product 235,Electronics,Subcategory 6,602.33
236,Product 236,Books,Subcategory 7,1077.52
237,Product 237,Home,Subcategory 8,138.56
238,Product 238,Books,Subcategory 9,1969.67
239,Product 239,Electronics,Subcategory 10,64.99
240,Product 240,Home,Subcategory 1,1893.38
241,Product 241,Clothing,Subcategory 2,1540.11
242,Product 242,Home,Subcategory 3,689.84
243,Product 243,Electronics,Subcategory 4,1019.9
244,Product 244,Books,Subcategory 5,392.6
245,Product 245,Books,Subcategory 6,1088.54
246,Product 246,Clothing,Subcategory 7,1025.51
247,Product 247,Home,Subcategory 8,190.55
248,Product 248,Electronics,Subcategory 9,900.63
249,Product 249,Books,Subcategory 10,1846.27
250,Product 250,Home,Subcategory 1,1172.73
251,Product 251,Books,Subcategory 2,1433.52
252,Product 252,Books,Subcategory 3,614.55
253,Product 253,Books,Subcategory 4,90.67
254,Product 254,Home,Subcategory 5,385.15
255,Product 255,Books,Subcategory 6,1672.45
256,Product 256,Home,Subcategory 7,221.85
257,Product 257,Electronics,Subcategory 8,524.47
258,Product 258,Books,Subcategory 9,1071.73
259,Product 259,Books,Subcategory 10,1747.52
260,Product 260,Home,Subcategory 1,482.07
261,Product 261,Clothing,Subcategory 2,198.94
262,Product 262,Electronics,Subcategory 3,1084.68
263,Product 263,Clothing,Subcategory 4,1816.55
264,Product 264,Home,Subcategory 5,734.64
265,Product 265,Clothing,Subcategory 6,510.72
266,Product 266,Clothing,Subcategory 7,549.14
267,Product 267,Clothing,Subcategory 8,1224.68
268,Product 268,Electronics,Subcategory 9,395.43
269,Product 269,Books,Subcategory 10,954.71
270,Product 270,Books,Subcategory 1,1378.21
271,Product 271,Home,Subcategory 2,1735.28
272,Product 272,Home,Subcategory 3,344.37
273,Product 273,Electronics,Subcategory 4,964.4
274,Product 274,Home,Subcategory 5,1602.84
275,Product 275,Electronics,Subcategory 6,736.29
276,Product 276,Electronics,Subcategory 7,655.3
277,Product 277,Books,Subcategory 8,123.33
278,Product 278,Home,Subcategory 9,1671.81
279,Product 279,Electronics,Subcategory 10,1307.1
280,Product 280,Electronics,Subcategory 1,1249.27
281,Product 281,Books,Subcategory 2,952.29
282,Product 282,Electronics,Subcategory 3,926.98
283,Product 283,Clothing,Subcategory 4,676.98
284,Product 284,Books,Subcategory 5,1027.67
285,Product 285,Electronics,Subcategory 6,928.52
286,Product 286,Home,Subcategory 7,1965.65
287,Product 287,Electronics,Subcategory 8,1033.87
288,Product 288,Clothing,Subcategory 9,126.33
289,Product 289,Books,Subcategory 10,1982.42
290,Product 290,Clothing,Subcategory 1,759.6
291,Product 291,Home,Subcategory 2,805.46
292,Product 292,Home,Subcategory 3,1373.85
293,Product 293,Electronics,Subcategory 4,1588.99
294,Product 294,Home,Subcategory 5,178.53
295,Product 295,Electronics,Subcategory 6,1138.03
296,Product 296,Books,Subcategory 7,604.09
297,Product 297,Clothing,Subcategory 8,700.06
298,Product 298,Clothing,Subcategory 9,1837.66
299,Product 299,Home,Subcategory 10,1937.01
300,Product 300,Books,Subcategory 1,301.46
301,Product 301,Electronics,Subcategory 2,653.68
302,Product 302,Books,Subcategory 3,1304.81
303,Product 303,Home,Subcategory 4,1635.71
304,Product 304,Electronics,Subcategory 5,1309.75
305,Product 305,Books,Subcategory 6,1041.55
306,Product 306,Electronics,Subcategory 7,757.07
307,Product 307,Clothing,Subcategory 8,1904.78
308,Product 308,Home,Subcategory 9,1897.95
309,Product 309,Books,Subcategory 10,424.41
310,Product 310,Clothing,Subcategory 1,352.14
311,Product 311,Home,Subcategory 2,1696.64
312,Product 312,Electronics,Subcategory 3,1039.99
313,Product 313,Electronics,Subcategory 4,1340.76
314,Product 314,Clothing,Subcategory 5,1214.63
315,Product 315,Clothing,Subcategory 6,366.38
316,Product 316,Clothing,Subcategory 7,1456.31
317,Product 317,Electronics,Subcategory 8,851.17
318,Product 318,Clothing,Subcategory 9,1940.7
319,Product 319,Home,Subcategory 10,1517.16
320,Product 320,Books,Subcategory 1,506.31
321,Product 321,Clothing,Subcategory 2,653.46
322,Product 322,Books,Subcategory 3,1812.75
323,Product 323,Clothing,Subcategory 4,767.29
324,Product 324,Books,Subcategory 5,950.28
325,Product 325,Home,Subcategory 6,1567.34
326,Product 326,Books,Subcategory 7,1934.22
327,Product 327,Clothing,Subcategory 8,1612.46
328,Product 328,Clothing,Subcategory 9,1752.35
329,Product 329,Electronics,Subcategory 10,1300.3
330,Product 330,Home,Subcategory 1,1131.35
331,Product 331,Electronics,Subcategory 2,1437.23
332,Product 332,Electronics,Subcategory 3,605.87
333,Product 333,Clothing,Subcategory 4,581.94
334,Product 334,Clothing,Subcategory 5,1670.54
335,Product 335,Electronics,Subcategory 6,1895.51
336,Product 336,Clothing,Subcategory 7,1642.57
337,Product 337,Home,Subcategory 8,1864.42
338,Product 338,Books,Subcategory 9,153.85
339,Product 339,Home,Subcategory 10,509.77
340,Product 340,Electronics,Subcategory 1,781.08
341,Product 341,Electronics,Subcategory 2,671.44
342,Product 342,Electronics,Subcategory 3,1686.39
343,Product 343,Home,Subcategory 4,1593.19
344,Product 344,Clothing,Subcategory 5,124.69
345,Product 345,Books,Subcategory 6,1407.34
346,Product 346,Clothing,Subcategory 7,1529.74
347,Product 347,Books,Subcategory 8,924.77
348,Product 348,Electronics,Subcategory 9,1816.42
349,Product 349,Electronics,Subcategory 10,549.05
350,Product 350,Clothing,Subcategory 1,1120.17
351,Product 351,Books,Subcategory 2,266.81
352,Product 352,Home,Subcategory 3,513.4
353,Product 353,Electronics,Subcategory 4,143.11
354,Product 354,Books,Subcategory 5,1295.96
355,Product 355,Books,Subcategory 6,172.47
356,Product 356,Books,Subcategory 7,1213.64
357,Product 357,Electronics,Subcategory 8,1282.31
358,Product 358,Clothing,Subcategory 9,1451.16
359,Product 359,Home,Subcategory 10,887.02
360,Product 360,Home,Subcategory 1,519.1
361,Product 361,Books,Subcategory 2,415.26
362,Product 362,Electronics,Subcategory 3,1070.79
363,Product 363,Home,Subcategory 4,181.97
364,Product 364,Electronics,Subcategory 5,811.38
365,Product 365,Books,Subcategory 6,134.89
366,Product 366,Books,Subcategory 7,1963.03
367,Product 367,Home,Subcategory 8,1507.27
368,Product 368,Home,Subcategory 9,1587.61
369,Product 369,Home,Subcategory 10,520.2
370,Product 370,Electronics,Subcategory 1,1554.43
371,Product 371,Home,Subcategory 2,310.15
372,Product 372,Home,Subcategory 3,1114.73
373,Product 373,Clothing,Subcategory 4,1669.25
374,Product 374,Books,Subcategory 5,1962.6
375,Product 375,Books,Subcategory 6,1281.88
376,Product 376,Clothing,Subcategory 7,173.05
377,Product 377,Books,Subcategory 8,122.12
378,Product 378,Clothing,Subcategory 9,135.42
379,Product 379,Clothing,Subcategory 10,1777.29
380,Product 380,Home,Subcategory 1,1870.07
381,Product 381,Books,Subcategory 2,1978.79
382,Product 382,Books,Subcategory 3,543.96
383,Product 383,Clothing,Subcategory 4,607.92
384,Product 384,Electronics,Subcategory 5,1738.31
385,Product 385,Home,Subcategory 6,582.77
386,Product 386,Home,Subcategory 7,902.06
387,Product 387,Books,Subcategory 8,1499.45
388,Product 388,Books,Subcategory 9,711.12
389,Product 389,Clothing,Subcategory 10,1017.6
390,Product 390,Books,Subcategory 1,766.33
391,Product 391,Home,Subcategory 2,1612.24
392,Product 392,Books,Subcategory 3,203.91
393,Product 393,Clothing,Subcategory 4,1113.68
394,Product 394,Home,Subcategory 5,250.07
395,Product 395,Home,Subcategory 6,1338.79
396,Product 396,Home,Subcategory 7,919.54
397,Product 397,Books,Subcategory 8,374.96
398,Product 398,Books,Subcategory 9,735.52
399,Product 399,Electronics,Subcategory 10,1467.29
400,Product 400,Home,Subcategory 1,1248.96
401,Product 401,Books,Subcategory 2,585.38
402,Product 402,Electronics,Subcategory 3,196.33
403,Product 403,Books,Subcategory 4,758.46
404,Product 404,Clothing,Subcategory 5,1907.94
405,Product 405,Clothing,Subcategory 6,1704.91
406,Product 406,Books,Subcategory 7,117.86
407,Product 407,Electronics,Subcategory 8,510.19
408,Product 408,Home,Subcategory 9,756.19
409,Product 409,Electronics,Subcategory 10,1229.93
410,Product 410,Books,Subcategory 1,1900.21
411,Product 411,Home,Subcategory 2,915.68
412,Product 412,Electronics,Subcategory 3,1169.15
413,Product 413,Home,Subcategory 4,826.17
414,Product 414,Home,Subcategory 5,536.74
415,Product 415,Electronics,Subcategory 6,100.53
416,Product 416,Clothing,Subcategory 7,1023.14
417,Product 417,Books,Subcategory 8,1831.41
418,Product 418,Electronics,Subcategory 9,560.46
419,Product 419,Home,Subcategory 10,1422.87
420,Product 420,Clothing,Subcategory 1,1992.91
421,Product 421,Home,Subcategory 2,1403.26
422,Product 422,Books,Subcategory 3,440.35
423,Product 423,Clothing,Subcategory 4,1713.01
424,Product 424,Books,Subcategory 5,386.68
425,Product 425,Books,Subcategory 6,1994.66
426,Product 426,Home,Subcategory 7,1352.29
427,Product 427,Electronics,Subcategory 8,1122.49
428,Product 428,Home,Subcategory 9,1788.1
429,Product 429,Clothing,Subcategory 10,1438.03
430,Product 430,Clothing,Subcategory 1,1597.71
431,Product 431,Clothing,Subcategory 2,286.66
432,Product 432,Clothing,Subcategory 3,1594.53
433,Product 433,Clothing,Subcategory 4,1591.23
434,Product 434,Electronics,Subcategory 5,753.75
435,Product 435,Home,Subcategory 6,961.44
436,Product 436,Clothing,Subcategory 7,1243.3
437,Product 437,Electronics,Subcategory 8,178.21
438,Product 438,Books,Subcategory 9,1999.21
439,Product 439,Books,Subcategory 10,1075.11
440,Product 440,Books,Subcategory 1,1655.51
441,Product 441,Electronics,Subcategory 2,294.39
442,Product 442,Home,Subcategory 3,1302.56
443,Product 443,Books,Subcategory 4,958.37
444,Product 444,Home,Subcategory 5,300.25
445,Product 445,Clothing,Subcategory 6,1547.17
446,Product 446,Clothing,Subcategory 7,893.61
447,Product 447,Electronics,Subcategory 8,1671.21
448,Product 448,Clothing,Subcategory 9,643.04
449,Product 449,Clothing,Subcategory 10,679.19
450,Product 450,Clothing,Subcategory 1,724.75
451,Product 451,Home,Subcategory 2,1699.57
452,Product 452,Home,Subcategory 3,432.79
453,Product 453,Home,Subcategory 4,294.08
454,Product 454,Home,Subcategory 5,1248.14
455,Product 455,Electronics,Subcategory 6,1030.02
456,Product 456,Clothing,Subcategory 7,1204.03
457,Product 457,Clothing,Subcategory 8,383.84
458,Product 458,Home,Subcategory 9,1692.93
459,Product 459,Electronics,Subcategory 10,1659.21
460,Product 460,Electronics,Subcategory 1,208.38
461,Product 461,Home,Subcategory 2,1319.7
462,Product 462,Books,Subcategory 3,1255.31
463,Product 463,Electronics,Subcategory 4,1021.17
464,Product 464,Home,Subcategory 5,1301.72
465,Product 465,Home,Subcategory 6,991.74
466,Product 466,Books,Subcategory 7,630.0
467,Product 467,Electronics,Subcategory 8,1392.8
468,Product 468,Clothing,Subcategory 9,907.23
469,Product 469,Books,Subcategory 10,955.66
470,Product 470,Home,Subcategory 1,1232.99
471,Product 471,Home,Subcategory 2,1729.9
472,Product 472,Home,Subcategory 3,1481.69
473,Product 473,Home,Subcategory 4,1951.98
474,Product 474,Clothing,Subcategory 5,1533.3
475,Product 475,Electronics,Subcategory 6,672.28
476,Product 476,Books,Subcategory 7,288.92
477,Product 477,Books,Subcategory 8,533.44
478,Product 478,Electronics,Subcategory 9,148.68
479,Product 479,Books,Subcategory 10,1735.12
480,Product 480,Books,Subcategory 1,534.13
481,Product 481,Clothing,Subcategory 2,1636.28
482,Product 482,Home,Subcategory 3,420.18
483,Product 483,Clothing,Subcategory 4,1021.62
484,Product 484,Books,Subcategory 5,1022.58
485,Product 485,Home,Subcategory 6,1019.87
486,Product 486,Electronics,Subcategory 7,1893.2
487,Product 487,Books,Subcategory 8,1935.04
488,Product 488,Clothing,Subcategory 9,1187.52
489,Product 489,Electronics,Subcategory 10,148.55
490,Product 490,Books,Subcategory 1,1215.16
491,Product 491,Books,Subcategory 2,607.21
492,Product 492,Electronics,Subcategory 3,1701.99
493,Product 493,Books,Subcategory 4,311.17
494,Product 494,Home,Subcategory 5,1468.64
495,Product 495,Books,Subcategory 6,763.58
496,Product 496,Books,Subcategory 7,149.76
497,Product 497,Clothing,Subcategory 8,756.92
498,Product 498,Home,Subcategory 9,193.39
499,Product 499,Books,Subcategory 10,1540.59
500,Product 500,Home,Subcategory 1,1659.36
